model,train_mae,train_rmse,train_r2,val_mae,val_rmse,val_r2,test_mae,test_rmse,test_r2
baseline_mean,0.014496736557644675,0.020663649638892678,0.0,0.01683175404058339,0.02372636475840363,-0.0003818637388199875,0.020523903818112022,0.030153944971907504,-0.0010339434061588104
ridge,0.014463973909825062,0.02054521326325914,0.011430406632773282,0.016910226284893283,0.023839318760072503,-0.00992956380529475,0.02070439573641239,0.030406974662237636,-0.017904308194071517
random_forest,0.013953861116822262,0.019619908564000404,0.09847058998685398,0.01695291272136131,0.02391843551100019,-0.016644095754327237,0.020702454656623227,0.030398475595099842,-0.01733535793869745
