model,n_folds,r2_mean,r2_std,r2_min,r2_max,mae_mean,mae_std,mae_min,mae_max,rmse_mean,rmse_std,rmse_min,rmse_max
baseline_mean,6,-0.027922810503781908,0.032955285083052906,-0.07949423205100925,-0.0011104690143155516,0.05712540227503519,0.010023309766031432,0.04805519126635218,0.07257577049550396,0.07873772929064178,0.015265936552234741,0.06596557360540029,0.10612574177483416
ridge,6,-0.04585521099555586,0.05030828833733059,-0.13055440816133035,0.00019263626358712038,0.057436872378216715,0.01022764237469145,0.048574379873885985,0.07255981645042543,0.07942402910056102,0.015473167485951306,0.06592314866554301,0.10622500736002365
random_forest,6,-0.07340921754910133,0.10823971218690215,-0.22920738505315907,0.05761357954341528,0.05821271884984678,0.010977289238894579,0.04851021955476211,0.07203714595753488,0.08027187678360485,0.014896975541980419,0.06553273108394449,0.10296609609633532
