model,n_folds,r2_mean,r2_std,r2_min,r2_max,mae_mean,mae_std,mae_min,mae_max,rmse_mean,rmse_std,rmse_min,rmse_max
baseline_mean,41,-0.03079649477018573,0.04928688677741068,-0.25907960946973607,-0.00023236052797193096,0.048289248243506534,0.013097949569523943,0.031091711564736103,0.08933285833501023,0.06584387451102008,0.019281608712741333,0.040621476037928754,0.13071477676352083
ridge,41,-6.594809393122519,42.015782337567515,-269.0650831650028,0.037369259050787584,0.04939971790273305,0.013604103915872315,0.0310801317169919,0.08920975194821719,0.08337066478461667,0.11015730717715742,0.04060855468112741,0.7608872104381971
random_forest,41,-0.04086943810034363,0.06838050088083865,-0.22734631392007043,0.037030591546430514,0.04855303124214956,0.01309517960889079,0.031252456002820186,0.09038940801210724,0.06616983427262801,0.01935259158326853,0.040939612268320366,0.13030193460604603
