model_name,split,accuracy,balanced_accuracy,precision,recall,f1,roc_auc
dummy_most_frequent,train,0.5223287112561175,0.5,0.5223287112561175,1.0,0.6862232938182306,0.5
dummy_most_frequent,val,0.5354812398042414,0.5,0.5354812398042414,1.0,0.697476759628154,0.5
dummy_most_frequent,test,0.4978693181818182,0.5,0.4978693181818182,1.0,0.6647700331910859,0.5
logistic_regression,train,0.5354812398042414,0.5210122137363233,0.5350389321468298,0.8450126878781964,0.6552141667927955,0.5414248546586418
logistic_regression,val,0.5452691680261011,0.5226358017715731,0.5492047713717694,0.8415841584158416,0.6646616541353384,0.5491094324533419
logistic_regression,test,0.49247159090909093,0.4936409292039862,0.4937637564196625,0.7680456490727532,0.6010941163335939,0.4991234587082104
random_forest_classifier,train,1.0,1.0,1.0,1.0,1.0,1.0
random_forest_classifier,val,0.5240619902120718,0.517261035889501,0.549863387978142,0.6130997715156131,0.5797623334533669,0.5195646025060398
random_forest_classifier,test,0.5106534090909091,0.5109199426158226,0.5075757575757576,0.5734664764621968,0.5385130609511052,0.5135176460380907
gradient_boosting_classifier,train,0.6451876019575856,0.6379728060053527,0.6254389983203542,0.7995315244973649,0.7018505825908157,0.7149968407902003
gradient_boosting_classifier,val,0.5395595432300163,0.5280667358962545,0.5565110565110565,0.69002284843869,0.6161169670180211,0.5432452004571025
gradient_boosting_classifier,test,0.506534090909091,0.5071038141107773,0.5034745572741538,0.6407988587731812,0.563896560381622,0.5113121081824914
