model,train_mae,train_rmse,train_r2,val_mae,val_rmse,val_r2,test_mae,test_rmse,test_r2
baseline_mean,0.11320345566335256,0.13773758012561862,0.0,0.08137695485894668,0.09791128034673888,-0.001390268911306114,0.0478069678574006,0.06063891742801602,-0.0011756332245316248
ridge,0.0989161743273087,0.123265005842694,0.19910662012161728,0.07041034086585661,0.09372759786331156,0.082358849500755,0.054454207552444074,0.08286336171345764,-0.8695302178462729
random_forest,0.05599079706132939,0.0787410758359082,0.6731881532702073,0.05823435117879318,0.07687315947893296,0.3827126612703322,0.05625411679883683,0.0728306573796954,-0.44422830519062906
