model,train_mae,train_rmse,train_r2,val_mae,val_rmse,val_r2,test_mae,test_rmse,test_r2
baseline_mean,0.022761771316433102,0.031732947983286935,0.0,0.02585063942629116,0.037717711687363306,-1.4909712369171046e-06,0.0306865544407343,0.04339021050110851,-3.631468888709577e-05
ridge,0.022659120023421582,0.031563552551657534,0.01064781640112944,0.026075613589625308,0.03795731245084016,-0.012746810867119818,0.030814672027106707,0.043540053190420404,-0.006955242714347332
random_forest,0.021547223104837632,0.029726293407832803,0.12247261062446091,0.026118408990125398,0.03802291368995867,-0.016250476063384145,0.03086714970736203,0.04363420430882517,-0.011314836222116487
