ticker,earnings_date,post_window_start,post_window_end,stock_return_30d,spy_return_30d,excess_return_30d,label_outperform_30d
MMM,2010-04-27,2010-04-28,2010-05-27,-0.07137347650931869,-0.07220640735548056,0.0008329308461618723,1
MMM,2011-04-26,2011-04-27,2011-05-26,-0.032164083871565774,-0.019680134148168493,-0.01248394972339728,0
MMM,2012-04-24,2012-04-25,2012-05-24,-0.03639033611453957,-0.04784786595140422,0.011457529836864655,1
MMM,2013-04-25,2013-04-26,2013-05-25,0.06849106452029163,0.044678032818961544,0.02381303170133009,1
MMM,2014-04-24,2014-04-25,2014-05-24,0.03987830648037405,0.021793938147602665,0.018084368332771383,1
MMM,2015-04-23,2015-04-24,2015-05-23,0.018918935200554765,0.006331427099997233,0.012587508100557532,1
MMM,2016-04-26,2016-04-27,2016-05-26,0.013558820021886575,-4.8282346975847545e-05,0.013607102368862423,1
MMM,2017-04-24,2017-04-25,2017-05-24,0.01813902616194918,0.008635606453405886,0.009503419708543293,1
MMM,2018-04-24,2018-04-25,2018-05-24,0.009725659138286158,0.034783111586796256,-0.025057452448510098,0
MMM,2019-04-25,2019-04-26,2019-05-25,-0.1260440497574733,-0.03622939493416921,-0.08981465482330409,0
MMM,2020-04-28,2020-04-29,2020-05-28,0.01353767673112527,0.03328697507946443,-0.01974929834833916,0
MMM,2021-04-27,2021-04-28,2021-05-27,0.0449423051483242,0.004528003928027102,0.0404143012202971,1
MMM,2022-04-26,2022-04-27,2022-05-26,0.029928321825146043,-0.028662701353778575,0.05859102317892462,1
MMM,2023-04-25,2023-04-26,2023-05-25,-0.04270099589453946,0.02544766248667174,-0.0681486583812112,0
MMM,2024-04-30,2024-05-01,2024-05-30,0.0044902684195358145,0.04448858773819242,-0.039998319318656606,0
MMM,2010-07-22,2010-07-23,2010-08-21,-0.05806272607365115,-0.026084811613435788,-0.03197791446021536,0
MMM,2011-07-26,2011-07-27,2011-08-25,-0.10629916784734661,-0.10964793238331993,0.0033487645359733254,1
MMM,2012-07-26,2012-07-27,2012-08-25,0.018660279259717916,0.02040653919686619,-0.0017462599371482757,0
MMM,2013-07-25,2013-07-26,2013-08-24,-0.016055879903955295,-0.014724517222311828,-0.0013313626816434665,0
MMM,2014-07-24,2014-07-25,2014-08-23,-0.0009000991588515861,0.0074348527173695445,-0.00833495187622113,0
MMM,2015-07-23,2015-07-24,2015-08-22,-0.04186138450129584,-0.04889424430384537,0.007032859802549529,1
MMM,2016-07-26,2016-07-27,2016-08-25,0.013625398526321275,0.0054497951834404645,0.00817560334288081,1
MMM,2017-07-25,2017-07-26,2017-08-24,0.021366290933685583,-0.013902888085346898,0.03526917901903248,1
MMM,2018-07-24,2018-07-25,2018-08-23,-0.0013258369024604644,0.0062671036519146295,-0.007592940554375094,0
MMM,2019-07-25,2019-07-26,2019-08-24,-0.09601061276522427,-0.05681894618274119,-0.039191666582483076,0
MMM,2020-07-28,2020-07-29,2020-08-27,0.059670467944437755,0.07138896619391044,-0.011718498249472686,0
MMM,2021-07-27,2021-07-28,2021-08-26,-0.0074085542505513136,0.016931439098896828,-0.02433999334944814,0
MMM,2022-07-26,2022-07-27,2022-08-25,0.03863647575057638,0.0460552186193155,-0.007418742868739114,0
MMM,2023-07-25,2023-07-26,2023-08-24,-0.11245494792368227,-0.04087718237069138,-0.07157776555299089,0
MMM,2024-07-26,2024-07-27,2024-08-25,0.04306503273617435,0.03188549518289707,0.011179537553277274,1
