fold_id,train_start,train_end,test_start,test_end,model_name,train_mae,train_rmse,train_r2,test_mae,test_rmse,test_r2
1,2010-02-03,2014-12-22,2015-01-06,2015-12-23,baseline_mean,0.03997926699577563,0.054927440225806035,0.0,0.03572630875411459,0.04974829384974912,-2.025261556526381e-05
1,2010-02-03,2014-12-22,2015-01-06,2015-12-23,baseline_capm,0.037658707489728514,0.05132736579657671,0.1267889315693096,0.038377556636347586,0.05268962772580814,-0.12176703627737329
1,2010-02-03,2014-12-22,2015-01-06,2015-12-23,ridge,0.039879609365820065,0.05435724424660549,0.020654026644164825,0.03593890732775527,0.04966509483631485,0.0033218168144619753
1,2010-02-03,2014-12-22,2015-01-06,2015-12-23,random_forest,0.036633574969341935,0.04951767793249124,0.18727836438652767,0.03593670853904254,0.049507576882235005,0.009633925806881383
1,2010-02-03,2014-12-22,2015-01-06,2015-12-23,xgb_best,0.03730418004558931,0.05020295903117098,0.1646280060577373,0.036561661922301654,0.05011360926434034,-0.014761025325322974
2,2010-02-03,2015-12-23,2016-01-07,2016-12-23,baseline_mean,0.03921186962343032,0.054029719526062135,0.0,0.04380137317857599,0.059080485406948054,-0.0030751784438696195
2,2010-02-03,2015-12-23,2016-01-07,2016-12-23,baseline_capm,0.037309356946717956,0.051064300093240284,0.10675757648302864,0.04643940034098013,0.0629396315289511,-0.13839706191103907
2,2010-02-03,2015-12-23,2016-01-07,2016-12-23,ridge,0.0391295203615992,0.0535108128840072,0.01911595439856073,0.04435536014513341,0.05963449873860758,-0.021975584233901557
2,2010-02-03,2015-12-23,2016-01-07,2016-12-23,random_forest,0.036244954032927025,0.04907343023870241,0.17505041878827887,0.04423940396975538,0.059834524074879124,-0.02884287908858596
2,2010-02-03,2015-12-23,2016-01-07,2016-12-23,xgb_best,0.03694554474761103,0.04987976218373499,0.1477179884627482,0.044218260977418544,0.059620049723529245,-0.021480409393006106
3,2010-02-03,2016-12-23,2017-01-05,2017-12-21,baseline_mean,0.03991164748021626,0.054826400101022826,0.0,0.03433843964162803,0.04660862873597657,-0.003988171086461989
3,2010-02-03,2016-12-23,2017-01-05,2017-12-21,baseline_capm,0.038168224264688376,0.05212852581632211,0.09599376767547241,0.035984540696115105,0.04777749307053886,-0.054976196491740126
3,2010-02-03,2016-12-23,2017-01-05,2017-12-21,ridge,0.0398165351906067,0.05443421502601426,0.014255263232248572,0.04493068547170959,0.3817627813814737,-66.3570590329732
3,2010-02-03,2016-12-23,2017-01-05,2017-12-21,random_forest,0.037163915345083155,0.05033802614882617,0.15702848040956163,0.03444267147995723,0.04629563375878838,0.009450890764277298
3,2010-02-03,2016-12-23,2017-01-05,2017-12-21,xgb_best,0.037813553977954086,0.05098625016257808,0.13517809186263707,0.034578990108595595,0.04652329790442661,-0.0003153437716134633
4,2010-02-03,2017-12-21,2018-01-05,2018-12-20,baseline_mean,0.03916392873137607,0.05380007012477943,0.0,0.042381226537570885,0.056602515584558775,-0.0013906587183758479
4,2010-02-03,2017-12-21,2018-01-05,2018-12-20,baseline_capm,0.037739914221745545,0.05140196294250845,0.08716197033399331,0.042997888548162964,0.05792654556067332,-0.04878708405513077
4,2010-02-03,2017-12-21,2018-01-05,2018-12-20,ridge,0.03908469798795473,0.05344667194578514,0.013094313424554138,0.041738457495236775,0.05589125629748221,0.02361789052415897
4,2010-02-03,2017-12-21,2018-01-05,2018-12-20,random_forest,0.03657094192582276,0.049504972463759435,0.15329531450448353,0.04207655160592148,0.0558611595847508,0.02466914547354948
4,2010-02-03,2017-12-21,2018-01-05,2018-12-20,xgb_best,0.03731574659394148,0.05051267879698496,0.11847401647512867,0.042028845592071304,0.05587373936934509,0.024229812181032373
5,2010-02-03,2018-12-20,2019-01-09,2019-12-20,baseline_mean,0.03954546253890796,0.05413838393876899,0.0,0.04677054227286106,0.06388934730112711,-1.3485358663745117e-05
5,2010-02-03,2018-12-20,2019-01-09,2019-12-20,baseline_capm,0.0381014263653634,0.05173957790515607,0.08665430225754656,0.04796044543979057,0.06482472628400765,-0.029509449494716566
5,2010-02-03,2018-12-20,2019-01-09,2019-12-20,ridge,0.039397790526817925,0.053721414087898156,0.015344533216222978,0.047049446091071714,0.06439955711155823,-0.016049145940100207
5,2010-02-03,2018-12-20,2019-01-09,2019-12-20,random_forest,0.03691357579521435,0.0497384794189759,0.15593783636021785,0.04720139903974548,0.06446306338330499,-0.01805404508214803
5,2010-02-03,2018-12-20,2019-01-09,2019-12-20,xgb_best,0.03810738365998016,0.051573653727622785,0.09250294433814732,0.04721053182870866,0.06417224503633716,-0.008889077196373885
6,2010-02-03,2019-12-20,2020-01-08,2020-12-23,baseline_mean,0.04032029945671824,0.05526669065135309,0.0,0.07255244931455795,0.10613737332447423,-0.0013299276309859387
6,2010-02-03,2019-12-20,2020-01-08,2020-12-23,baseline_capm,0.039019565197600255,0.053046471944500566,0.0787317807583161,0.07562788115962535,0.11018955060442807,-0.07924823996973562
6,2010-02-03,2019-12-20,2020-01-08,2020-12-23,ridge,0.04020295374677197,0.054925437000410776,0.012311216118185975,0.0728870391516247,0.10683556870990571,-0.01454720274562571
6,2010-02-03,2019-12-20,2020-01-08,2020-12-23,random_forest,0.037906172544527765,0.05119205221627112,0.142018032262489,0.07190220214424403,0.10538542863046137,0.012807930368454512
6,2010-02-03,2019-12-20,2020-01-08,2020-12-23,xgb_best,0.03906602295058041,0.05300544250202635,0.08015636195752818,0.07160307354761854,0.10438558658816785,0.03145099906390869
7,2010-02-03,2020-12-23,2021-01-07,2021-12-22,baseline_mean,0.043482514975892145,0.06211570678853568,0.0,0.0519108264353712,0.07283805533709432,-0.00577082839437959
7,2010-02-03,2020-12-23,2021-01-07,2021-12-22,baseline_capm,0.04230615569467475,0.06014418620032823,0.06247157647391588,0.05340989364763571,0.0748494746916825,-0.06208643967416805
7,2010-02-03,2020-12-23,2021-01-07,2021-12-22,ridge,0.04339575448493471,0.06166409634665376,0.014488082156549065,0.051740052835634265,0.07232836824910105,0.008255763443625441
7,2010-02-03,2020-12-23,2021-01-07,2021-12-22,random_forest,0.04135269943654867,0.0575664594335814,0.1411127092333908,0.05155685199830458,0.07223940601948989,0.010693908297525923
7,2010-02-03,2020-12-23,2021-01-07,2021-12-22,xgb_best,0.04268404803534852,0.05996011654748172,0.06820135581317133,0.0517022361652563,0.07265239222287892,-0.000649973601023035
8,2010-02-03,2021-12-22,2022-01-06,2022-12-22,baseline_mean,0.044249180058179044,0.06315254591045397,0.0,0.053654380839233795,0.07464843958774761,-0.016789155839208147
8,2010-02-03,2021-12-22,2022-01-06,2022-12-22,baseline_capm,0.043204039160032306,0.061367580783078086,0.055729810097075894,0.05770960657774727,0.07945995790300357,-0.1520891836013758
8,2010-02-03,2021-12-22,2022-01-06,2022-12-22,ridge,0.0440968063229512,0.06263829803580707,0.01621958768264442,0.053632466754623645,0.07481105133598732,-0.021223862065374632
8,2010-02-03,2021-12-22,2022-01-06,2022-12-22,random_forest,0.04221065464077452,0.05871606451982084,0.1355653803588579,0.05497882587775681,0.0770625470512223,-0.08361786452935638
8,2010-02-03,2021-12-22,2022-01-06,2022-12-22,xgb_best,0.04241642050400184,0.05911646833553441,0.12373546345303044,0.05567743155937333,0.07840787963945774,-0.12178300725134616
9,2010-02-03,2022-12-22,2023-01-05,2023-12-21,baseline_mean,0.045045781238853826,0.06417899042628859,0.0,0.04926408563221298,0.06527151891145795,-0.056898004699043936
9,2010-02-03,2022-12-22,2023-01-05,2023-12-21,baseline_capm,0.04422002741973029,0.06267541636547636,0.04630678410726319,0.04960683492985929,0.06613062896053178,-0.08490309020096731
9,2010-02-03,2022-12-22,2023-01-05,2023-12-21,ridge,0.04486244816130557,0.06370670025807953,0.014663751627448485,0.04884608843953501,0.0647316150125342,-0.039485713353133445
9,2010-02-03,2022-12-22,2023-01-05,2023-12-21,random_forest,0.043033312477768294,0.05993485883868605,0.12788609411429153,0.04840089644708856,0.064487342667674,-0.031655273199667544
9,2010-02-03,2022-12-22,2023-01-05,2023-12-21,xgb_best,0.04365927698759672,0.06106911474734871,0.09456456519983913,0.04797615912061557,0.06389362972058439,-0.012746523185513059
10,2010-02-03,2023-12-21,2024-01-04,2024-12-20,baseline_mean,0.04532920781148331,0.06425291420461013,0.0,0.04794107111999184,0.06671268116808286,-0.007641806198447343
10,2010-02-03,2023-12-21,2024-01-04,2024-12-20,baseline_capm,0.04445945477521848,0.0626986962714042,0.04779301959219906,0.04879781068661834,0.06937332925095019,-0.08961848226134661
10,2010-02-03,2023-12-21,2024-01-04,2024-12-20,ridge,0.045143443581380394,0.06376277312158536,0.015198426880842497,0.0482669294718545,0.06702545271852257,-0.017112283973656384
10,2010-02-03,2023-12-21,2024-01-04,2024-12-20,random_forest,0.04321043383026339,0.05996596996189723,0.12898814549074455,0.048327153178933976,0.06737183366294118,-0.027652120603619545
10,2010-02-03,2023-12-21,2024-01-04,2024-12-20,xgb_best,0.0445350775924642,0.06236054651258333,0.05803630366116275,0.04773447420875971,0.06647606812461931,-0.0005067793814774735
11,2010-02-03,2024-12-20,2025-01-10,2025-03-13,baseline_mean,0.04550412871478988,0.06443043605196466,0.0,0.06667994874740611,0.0862675690626614,-0.06000720984760166
11,2010-02-03,2024-12-20,2025-01-10,2025-03-13,baseline_capm,0.044700410124544294,0.0630463120217768,0.042503416771906055,0.06751453555293985,0.08791812748948262,-0.1009575101142457
11,2010-02-03,2024-12-20,2025-01-10,2025-03-13,ridge,0.04535915485383659,0.06398682133456465,0.01372294096975235,0.06817615951623957,0.08937537246261251,-0.13775676949414617
11,2010-02-03,2024-12-20,2025-01-10,2025-03-13,random_forest,0.04351561451465707,0.06037272167086671,0.12199018976022113,0.06929297492215879,0.09068206570559453,-0.17126862006979038
11,2010-02-03,2024-12-20,2025-01-10,2025-03-13,xgb_best,0.04510562913932341,0.06336259639353194,0.03287237485566952,0.06757412846288792,0.08778651548203192,-0.09766374633050012
