model_name,test_mae_mean,test_mae_std,test_mae_min,test_mae_max,test_rmse_mean,test_rmse_std,test_rmse_min,test_rmse_max,test_r2_mean,test_r2_std,test_r2_min,test_r2_max
baseline_capm,0.05131149038325656,0.011894006574898829,0.035984540696115105,0.07562788115962535,0.07037082664273253,0.017547105050376006,0.04777749307053886,0.11018955060442807,-0.08748543400471263,0.038421569036753,-0.1520891836013758,-0.029509449494716566
baseline_mean,0.04954733204304767,0.01167170510122757,0.03433843964162803,0.07255244931455795,0.06798226438817073,0.016976288139159038,0.04660862873597657,0.10613737332447423,-0.014265879893873007,0.02236564425679654,-0.06000720984760166,-1.3485358663745117e-05
random_forest,0.04985051265480989,0.011949275621216638,0.03444267147995723,0.07190220214424403,0.06847187103830378,0.017498909570275608,0.04629563375878838,0.10538542863046137,-0.02671227289658902,0.056982053667794796,-0.17126862006979038,0.02466914547354948
ridge,0.05068741751821986,0.010962582257305363,0.03593890732775527,0.0728870391516247,0.09876914698673636,0.09520532493120525,0.04966509483631485,0.3817627813814737,-6.05363764763608,20.000425834213814,-66.3570590329732,0.02361789052415897
xgb_best,0.04971507213578246,0.011585139399324363,0.034578990108595595,0.07160307354761854,0.0681731830068835,0.01696270534331654,0.04652329790442661,0.10438558658816785,-0.020283188562839564,0.047266940198926286,-0.12178300725134616,0.03145099906390869
