feature,importance_mean,importance_std,ci_lower,ci_upper
stock_momentum_3m,0.0095092572283475,0.0010173820214931216,0.007474493185361258,0.011544021271333743
stock_momentum_6m,0.0023066673444166463,0.0007050073065448594,0.0008966527313269276,0.0037166819575063653
f_cashflow_proxy_ffo_capex,0.0013463969008369215,0.001581922925611567,-0.0018174489503862124,0.004510242752060055
stock_momentum_1m,0.0005190240262321511,0.000495068804066512,-0.000471113581900873,0.0015091616343651752
f_cash_to_assets_ratio,0.0004418562411008242,0.0007713393052135701,-0.001100822369326316,0.0019845348515279645
f_leverage,0.0004352692477311515,0.00011553189668797276,0.000204205454355206,0.0006663330411070971
f_eps_surprise_value,0.0004283338149432714,0.0001973383033135143,3.365720831624276e-05,0.0008230104215703
spy_pre_return_30d,0.0003279050921480509,0.0013574740800981588,-0.002387043068048267,0.0030428532523443684
f_revenue_growth_yoy,0.00021806186827142416,0.0001692590167089858,-0.00012045616514654747,0.0005565799016893958
f_net_income_change_qoq,0.00020588763323471372,9.723082190059962e-05,1.142598943351447e-05,0.00040034927703591297
f_roe,0.00019594508204313633,0.00015571243731729044,-0.00011547979259144455,0.0005073699566777172
f_net_income_change_yoy,4.9121413833230765e-05,0.0001380597738155092,-0.00022699813379778764,0.00032524096146424917
f_roa,3.565282253206181e-05,0.00010691512313881111,-0.0001781774237455604,0.000249483068809684
pre_volatility_30d,1.61506439042558e-06,0.0005134011567978088,-0.001025187249205192,0.0010284173779860433
f_equity_ratio,-4.581437520848608e-05,6.873617453729612e-05,-0.00018328672428307832,9.165797386610615e-05
f_net_margin,-6.495719226006225e-05,8.402710249504246e-05,-0.00023301139725014715,0.00010309701273002266
pre_avg_volume_30d,-8.854916465464991e-05,0.0004828065514743707,-0.0010541622676033913,0.0008770639382940915
f_revenue_growth_qoq,-0.00018430278052802284,0.00016892325046181703,-0.0005221492814516569,0.0001535437203956112
f_operating_margin,-0.0002689817938878902,0.0001388657511499577,-0.0005467132961878056,8.749708412025175e-06
f_asset_turnover,-0.00032132448712424155,0.00029022803927421475,-0.0009017805656726711,0.00025913159142418795
f_eps_surprise_pct,-0.0006004965880608947,0.00016718584696122707,-0.0009348682819833489,-0.0002661248941384406
