feature,importance_mean,importance_std,ci_lower,ci_upper
f_leverage,0.058753057723544465,0.001982251344095169,0.054788555035354125,0.0627175604117348
f_equity_ratio,0.035463107920678485,0.0014255988678376639,0.03261191018500316,0.03831430565635381
f_net_income_change_yoy,0.0036114104982516437,0.000508656046340549,0.0025940984055705454,0.004628722590932742
f_net_income_change_qoq,0.0035499298721733074,0.0009084713029602004,0.0017329872662529065,0.005366872478093709
pre_volatility_30d,0.0014143149863210525,0.00018116244098922247,0.0010519901043426075,0.0017766398682994974
spy_pre_return_30d,0.0013048217160702923,0.0010780715806642572,-0.0008513214452582222,0.003460964877398807
f_cash_to_assets_ratio,0.0007654792492268525,0.0006519159664460571,-0.0005383526836652616,0.0020693111821189665
f_cashflow_proxy_ffo_capex,0.0007583787872697644,0.0006138060085636199,-0.0004692332298574754,0.0019859908043970043
f_net_margin,0.0005910995273489927,0.0002907315707605805,9.636385827831748e-06,0.0011725626688701535
f_operating_margin,0.0005621048675234607,0.0004909140953329392,-0.00041972332314241766,0.0015439330581893391
f_eps_surprise_value,0.000241211850773837,0.00034965865055820884,-0.0004581054503425807,0.0009405291518902547
f_asset_turnover,0.00012300605927666463,0.0004779631667584307,-0.0008329202742401968,0.0010789323927935261
f_revenue_growth_yoy,3.8517422843131756e-05,6.147478991408553e-06,2.622246486031465e-05,5.081238082594886e-05
stock_momentum_1m,1.968063702826317e-05,0.00018427009588753364,-0.00034885955474680413,0.00038822082880333043
f_roe,4.045786049955424e-06,6.880725915585641e-05,-0.0001335687322617574,0.00014166030436166824
f_eps_surprise_pct,-1.4921215818475276e-09,7.491564595357446e-10,-2.990434500919017e-09,6.191337223961732e-12
stock_momentum_6m,-7.54043219109768e-05,0.00018490539275441427,-0.00044521510741980536,0.0002944064635978517
f_roa,-9.728405847184707e-05,4.209760506287509e-05,-0.00018147926859759725,-1.3088848346096897e-05
pre_avg_volume_30d,-0.00010434136699799534,2.8139611694351333e-05,-0.00016062059038669802,-4.806214360929268e-05
f_revenue_growth_qoq,-0.0022027273627629462,0.0008144980798744339,-0.0038317235225118138,-0.0005737312030140785
stock_momentum_3m,-0.002266001767313397,0.0005970416053403473,-0.0034600849779940915,-0.0010719185566327024
