model,mean_long_return,mean_short_return,long_short_spread,std_long_short,sharpe_ratio_simple,n_long,n_short
baseline_mean,0.01346976433070025,0.006115826462774935,0.0073539378679253154,0.13347564877392112,0.05509572671477548,704,704
ridge,0.009730740879843228,0.006466192086449207,0.0032645487933940205,0.13403903794791414,0.024355209074706896,704,704
random_forest,0.015244910225305169,0.0040674211033167994,0.01117748912198837,0.14425979678476314,0.07748166413034173,704,704
